classes,filename,stream_index,sni,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,len15,len16,len17,len18,len19,len20,len21,len22,len23,len24,len25,len26,len27,len28,len29,len30
www.news.cn,www.news.cn.json,100,www.news.cn,0,0,0,517,0,156,0,51,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.news.cn,www.news.cn.json,106,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,553,224,547,218,0,553,224,0,547,218,564,235,607,218,0,624,235,0,565
www.news.cn,www.news.cn.json,105,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,548,219,0,540,0,211,0,567,0,224,0,549,220,548,219,547,218
www.news.cn,www.news.cn.json,107,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,550,0,221,605,0,216,0,565,222,0,550,221,553,224,540,211,607,218,605
www.news.cn,www.news.cn.json,120,www.news.cn,0,0,0,517,0,156,0,51,567,0,224,549,220,553,224,0,553,224,0,549,220,0,547,218,0,564,235,0,605,216
www.news.cn,www.news.cn.json,121,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,550,221,547,218,0,607,218,0,624,235,605,216,0,565,222,0,553,224,548
www.news.cn,www.news.cn.json,119,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,553,224,548,219,0,540,211,0,559,230,0,565,222,0,550,221,547,218,540
www.news.cn,www.news.cn.json,130,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,547,0,218,548,0,219,547,218,0,553,224,0,550,221,547,218,548
www.news.cn,www.news.cn.json,132,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,553,224,0,540,211,0,564,235,0,605,216,0,565,222,0,553,224,540,211
www.news.cn,www.news.cn.json,131,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,550,221,0,553,224,0,607,218,0,624,235,0,565,222,0,549,220,0,553
www.news.cn,www.news.cn.json,136,www.news.cn,0,0,0,517,0,156,0,51,547,0,218,624,235,0,553,224,0,547,218,605,216,0,567,224,0,553,224,624,235,0
www.news.cn,www.news.cn.json,137,www.news.cn,0,0,0,517,0,156,0,51,0,553,0,224,548,219,607,218,0,565,222,0,548,219,0,550,221,0,547,218,0,550
www.news.cn,www.news.cn.json,138,www.news.cn,0,0,0,517,0,156,0,51,0,550,0,221,540,211,624,235,0,565,222,0,547,218,0,549,220,0,540,211,0,549
